,gameId,season,date,HomeTeam,f_goals_home,f_xg_home,f_ns_xg_home,f_adj_score_home,f_margin_home,f_opp_goals_home,f_opp_xg_home,f_opp_ns_xg_home,f_opp_adj_score_home,AwayTeam,f_goals_away,f_xg_away,f_ns_xg_away,f_adj_score_away,f_margin_away,f_opp_goals_away,f_opp_xg_away,f_opp_ns_xg_away,f_opp_adj_score_away,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,FTR,FTHG,FTAG,f_homeElo,f_awayElo,f_winPct
47,48,2016,2016-09-18,Crystal Palace,0.7819744036531875,1.3696027158565165,1.658229886438743,0.8210731238358469,-0.21802559634681254,1.0,1.1690502914138075,1.2907163371988224,1.05,Stoke City,0.4818241903502975,0.8331090548578982,1.5236428528510484,0.5059153998678123,-2.0454485369224296,2.5272727272727273,2.2010123174908367,1.831165895571712,2.4255145106050593,56.79,57.23,0.4505,0.2622,0.2872,1.36,1.02,39.9,40.7,H,4.0,1.0,1492.7211490517827,1462.047797724424,0.616780686960056
48,49,2016,2016-09-18,Southampton,0.7547076849125759,0.8879287388091088,1.2817905425704503,0.7924430691582047,-0.7543832241783331,1.5090909090909093,1.2736970498107314,1.605404674637986,1.5845454545454545,Swansea City,1.0185062789160608,1.2316851529171424,1.6266596166556508,1.0694315928618638,-0.5084299705581925,1.5269362494742533,2.124337679504897,1.7582610106351015,1.4757310581025058,67.66,59.36,0.5339,0.2071,0.2591,1.69,0.96,21.1,30.7,H,1.0,0.0,1481.877576528146,1488.887902201697,0.564385876865897
49,50,2016,2016-09-18,Tottenham Hotspur,1.791395782010455,1.7325007510665147,1.560565643213363,1.8809655711109776,1.300486691101364,0.49090909090909096,1.0677395902181097,1.422923751727453,0.5154545454545455,Sunderland,0.7362014059965151,1.3841772516974102,1.3818056840713815,0.7730114762963408,-1.2732199723607522,2.0094213783572674,1.626649281980412,1.481123234993691,2.104616475395061,74.38,53.51,0.656,0.1278,0.2161,2.0,0.78,48.4,36.6,H,1.0,0.0,1523.522008935222,1470.6705164649309,0.646473488250698
50,51,2016,2016-09-24,Manchester United,1.5640496236013701,1.8253018615315746,1.7229846850961796,1.6422521047814385,0.31964440542785666,1.2444052181735135,1.0981335583465928,1.292800464517951,1.1949269027255656,Leicester City,1.4367433279712707,1.8347940055796672,1.1032970814559415,1.4677675530087604,0.03702688941068919,1.3997164385605816,1.0424585657466587,1.176608190710969,1.3682069194722555,80.26,68.73,0.6165,0.1536,0.2298,1.87,0.9,68.2,28.3,H,4.0,1.0,1511.5431609887598,1498.9880791340877,0.5918476936422817
51,52,2016,2016-09-24,Middlesbrough,0.9928665810926656,0.6900069999206699,0.9175165868065299,1.042509910147299,-0.4441409475788767,1.4370075286715422,1.0528581832846926,1.6615739372299674,1.5088579051051192,Tottenham Hotspur,1.6214000470389078,1.9532126805153032,1.7022154102397342,1.7024700493908531,1.235940661081874,0.3854593859570339,1.0940017319823685,1.2934127426513937,0.40473235525488555,54.34,74.49,0.2622,0.4619,0.2759,1.06,1.48,37.6,52.6,A,1.0,2.0,1490.4276440239369,1529.1784331232109,0.5190579099324477
52,53,2016,2016-09-24,Liverpool,2.200773660727859,1.8542262291885159,1.7490588653838017,2.209317002747897,0.6367240371264888,1.5640496236013701,0.9530876919168216,1.3091922867374393,1.6422521047814385,Hull City,1.1785902376443365,1.0191345365182332,0.5894210579840159,1.1373665480675779,-0.27322231545353926,1.4518125530978756,2.2458980255191316,2.4707232878588945,1.343967018945916,79.92,52.27,0.7404,0.0832,0.1765,2.31,0.55,67.9,29.9,H,5.0,1.0,1521.6227611024567,1495.5445525334378,0.6105094805420651
53,54,2016,2016-09-24,Swansea City,0.7997260839829723,1.098144101911576,1.507086373010151,0.8397123881821209,-0.6140216483817182,1.4137477323646905,2.1856993612703444,1.801595545072954,1.3842819175239505,Manchester City,3.014550259465357,2.498035395205456,2.447472452009655,2.882295044384669,2.229355213997325,0.7851950454680319,1.034130708054382,1.035480462602845,0.8244547977414335,58.75,88.31,0.0688,0.7915,0.1397,0.98,2.37,30.1,75.8,A,1.0,3.0,1481.9180762315514,1551.969347867134,0.47404548155022397
54,55,2016,2016-09-24,AFC Bournemouth,0.5925927349700031,0.6484099521188651,1.203555229304191,0.6222223717185033,-1.2161360927162732,1.8087288276862763,2.2827824981713882,2.0590480736938224,1.8991652690705905,Everton,2.0364789175879037,1.7821323198184424,1.8286693685498423,2.134160196487039,1.4433479960062359,0.5931309215816676,0.9581443849837548,1.3204479425020996,0.622787467660751,58.1,71.31,0.306,0.425,0.269,1.27,1.54,31.7,40.8,H,1.0,0.0,1477.4522679495394,1537.9922012843067,0.48771252248743824
55,56,2016,2016-09-24,Stoke City,0.5931309215816676,0.9419917412818138,1.436938368197225,0.622787467660751,-2.250490920547231,2.8436218421288983,2.0053223580541544,1.699884433161941,2.778758141383021,West Bromwich Albion,1.237545785177572,1.4771314793387016,1.333253970611516,1.2994230744364503,0.21559790610460883,1.021947879072963,1.4698339170095276,1.683340573224657,1.0730452730266111,55.79,59.09,0.4198,0.2998,0.2804,1.4,1.19,47.3,34.7,D,1.0,1.0,1451.427712594395,1500.7521268458513,0.5038504012969279
56,57,2016,2016-09-24,Sunderland,0.5780616964550627,1.3424670159754055,1.2611270396486272,0.6069647812778157,-1.2145309686205754,1.7925926650756379,1.870098631433383,1.639837624905599,1.8780796313491606,Crystal Palace,1.4732222455591741,1.3525036580963363,1.5640959356077193,1.518958713747977,0.4732222455591741,1.0,1.2057711357939178,1.2540456221489653,1.05,53.32,58.2,0.4314,0.2844,0.2841,1.37,1.12,43.1,31.4,A,2.0,3.0,1465.014092276942,1503.3412341818118,0.5196666729102221
